month,pct_id,total_gaba
2016-05-01,01V,59869.972222222226
2019-03-01,01Y,142149.83333333334
2018-04-01,01Y,139855.58888888886
2019-04-01,01Y,143377.43333333338
2014-12-01,01Y,107920.68333333332
2019-01-01,01Y,150564.87222222224
2015-05-01,01Y,100308.36666666668
2019-08-01,01Y,150680.1388888889
2018-02-01,02G,59531.2
2015-06-01,02G,50042.122222222235
2018-09-01,02G,63024.75
2018-03-01,02M,104066.98333333335
2015-10-01,02M,78957.33888888889
2017-03-01,02P,145855.60555555552
2017-01-01,02P,132974.47222222222
2017-09-01,02P,145064.63333333333
2015-07-01,02Q,52604.98333333334
2015-03-01,02Q,49052.916666666664
2016-12-01,02X,172920.0388888889
2016-07-01,02X,157624.57777777777
2019-05-01,04D,144736.5555555556
2019-02-01,04D,123146.51111111113
2015-01-01,06T,138846.74444444448
2015-09-01,06T,157166.72777777776
2015-11-01,07J,76637.21666666666
2015-08-01,07J,73150.77777777777
2019-10-01,10L,86844.65
2017-12-01,13T,303836.37222222215
2018-06-01,13T,303709.6666666666
2015-12-01,99C,111520.47777777778
2018-07-01,99C,128913.50555555557
2014-11-01,99C,82414.86111111112
2017-07-01,99C,121541.88888888886
2015-03-01,02W,23337.555555555555
2015-11-01,02W,24726.700000000008
2017-09-01,02W,31630.22777777778
2015-09-01,02W,24657.39444444445
2016-04-01,05R,53807.555555555555
2019-07-01,06P,52883.672222222216
2017-08-01,07L,48335.95555555556
2015-10-01,07L,37822.4611111111
2016-02-01,07T,52977.56666666666
2019-05-01,07V,93556.01666666663
2018-10-01,07V,99207.01666666668
2016-11-01,07V,83120.71666666672
2018-04-01,07V,90989.24999999999
2016-05-01,07V,74958.13333333333
2014-12-01,07V,67133.57777777778
2018-07-01,07V,91071.18888888894
2019-10-01,07V,93868.72222222226
2017-03-01,07V,87438.06111111109
2019-01-01,08G,75579.02777777777
2015-02-01,08G,45360.616666666654
2018-01-01,08G,70420.87777777777
2017-10-01,08G,67325.42777777778
2019-06-01,08G,65733.86666666665
2019-09-01,08G,67621.31111111109
2017-04-01,08G,59340.11666666668
2017-12-01,08G,66371.50555555556
2015-06-01,08G,52776.09444444444
2016-07-01,08G,58511.71666666666
2015-04-01,08G,49397.561111111114
2017-11-01,08G,68964.10555555555
2017-01-01,08G,60875.916666666664
2016-09-01,08G,61089.25
2018-05-01,08G,71550.44999999998
2016-01-01,08G,54248.35
2015-01-01,08G,49013.31111111109
2019-03-01,08G,64877.0888888889
2016-03-01,08Q,60051.34444444444
2018-02-01,08Q,65851.50000000003
